,,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 002,Sweep 002,Sweep 002,Sweep 002,Sweep 003,Sweep 003,Sweep 003,Sweep 003,Sweep 004,Sweep 004,Sweep 004,Sweep 004,Sweep 005,Sweep 005,Sweep 005,Sweep 005,Sweep 006,Sweep 006,Sweep 006,Sweep 006,Sweep 007,Sweep 007,Sweep 007,Sweep 007,Sweep 008,Sweep 008,Sweep 008,Sweep 008,Sweep 009,Sweep 009,Sweep 009,Sweep 009,Sweep 010,Sweep 010,Sweep 010,Sweep 010,Sweep 011,Sweep 011,Sweep 011,Sweep 011,Sweep 012,Sweep 012,Sweep 012,Sweep 012,Sweep 013,Sweep 013,Sweep 013,Sweep 013,Sweep 014,Sweep 014,Sweep 014,Sweep 014
Well ID,Cell Type,Valid QC,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2,Capacitance,OA Function C1,OA Function C2,OA Function C1 / C2
A01,WT +dox,T,2.036186E-11,-1.670110E-11,-6.196106E-10,2.695418E-2,2.074672E-11,-1.837120E-11,-6.045796E-10,3.038674E-2,2.054504E-11,-1.503099E-11,-5.895486E-10,2.549575E-2,2.055359E-11,-1.837120E-11,-5.394454E-10,3.405572E-2,2.079429E-11,-2.004131E-11,-4.910122E-10,4.081633E-2,2.065733E-11,-3.006197E-11,-3.908056E-10,7.692308E-2,2.068897E-11,-3.340219E-11,-2.087637E-10,1.600000E-1,2.055989E-11,-1.352789E-10,-7.515492E-11,1.800000E+0,2.065063E-11,-3.473828E-10,-3.674241E-11,9.454545E+0,2.068142E-11,-5.327649E-10,-2.672175E-11,1.993750E+1,2.074253E-11,-5.344351E-10,-1.670110E-11,3.200000E+1,2.069815E-11,-4.659605E-10,-2.171142E-11,2.146154E+1,2.076434E-11,-3.707643E-10,-2.171142E-11,1.707692E+1,2.085932E-11,-2.538566E-10,-2.672175E-11,9.500000E+0
B01,WT +dox,T,1.885012E-11,-1.837120E-11,-6.797345E-10,2.702703E-2,1.854147E-11,-2.672175E-11,-6.947655E-10,3.846154E-2,1.855628E-11,-2.839186E-11,-6.296313E-10,4.509284E-2,1.859565E-11,-3.340219E-11,-5.978992E-10,5.586592E-2,1.860101E-11,-3.173208E-11,-5.528062E-10,5.740181E-2,1.773057E-11,-4.676307E-11,-4.509295E-10,1.037037E-1,1.916819E-11,-3.674241E-11,-2.622072E-10,1.401274E-1,1.856481E-11,-1.068870E-10,-9.519624E-11,1.122807E+0,1.861928E-11,-3.523931E-10,-2.839186E-11,1.241176E+1,1.865439E-11,-5.845383E-10,-2.338153E-11,2.500000E+1,1.879988E-11,-6.630335E-10,-6.513427E-11,1.017949E+1,1.858253E-11,-5.411155E-10,-2.505164E-11,2.160000E+1,1.871591E-11,-4.158573E-10,-2.338153E-11,1.778572E+1,1.883158E-11,-2.922692E-10,-2.171142E-11,1.346154E+1
C01,WT +dox,T,1.357975E-11,-1.670110E-11,-1.105612E-9,1.510574E-2,1.293116E-11,-1.670110E-11,-1.063860E-9,1.569859E-2,1.287021E-11,-2.004131E-11,-1.025447E-9,1.954398E-2,1.296979E-11,-1.670110E-11,-9.836945E-10,1.697793E-2,1.319561E-11,-3.173208E-11,-9.486222E-10,3.345070E-2,1.304638E-11,-2.672175E-11,-7.164770E-10,3.729603E-2,1.284012E-11,-5.845383E-11,-3.657540E-10,1.598174E-1,1.283885E-11,-4.075067E-10,-6.847449E-11,5.951220E+0,1.294559E-11,-1.050499E-9,-3.841252E-11,2.734783E+1,1.315123E-11,-1.108953E-9,-2.505164E-11,4.426667E+1,1.264667E-11,-9.736738E-10,-1.837120E-11,5.300000E+1,1.286257E-11,-7.649101E-10,-2.505164E-11,3.053333E+1,1.328499E-11,-5.745177E-10,-4.676307E-11,1.228571E+1,1.298116E-11,-3.690942E-10,-1.336088E-11,2.762500E+1
E01,WT +dox,T,9.378382E-12,-1.503099E-11,-5.093834E-10,2.950820E-2,9.344524E-12,-1.837120E-11,-4.976926E-10,3.691275E-2,9.345968E-12,-2.171142E-11,-4.693008E-10,4.626334E-2,9.257645E-12,-1.670110E-11,-4.375687E-10,3.816794E-2,9.236944E-12,-1.837120E-11,-4.091768E-10,4.489796E-2,9.237019E-12,-2.004131E-11,-3.139806E-10,6.382979E-2,9.243290E-12,-3.173208E-11,-1.753615E-10,1.809524E-1,9.168002E-12,-1.169077E-10,-5.010328E-11,2.333333E+0,9.279336E-12,-3.206610E-10,-2.338153E-11,1.371429E+1,9.223746E-12,-4.509295E-10,-2.505164E-11,1.800000E+1,9.236451E-12,-4.542698E-10,-2.839186E-11,1.600000E+1,9.227884E-12,-3.991562E-10,-2.338153E-11,1.707143E+1,9.235925E-12,-3.039599E-10,-1.670110E-11,1.820000E+1,9.081791E-12,-2.154441E-10,-1.837120E-11,1.172727E+1
G01,WT +dox,T,2.432849E-11,-3.006197E-11,-5.110535E-10,5.882353E-2,2.374007E-11,-8.350548E-12,-5.027029E-10,1.661130E-2,2.422645E-11,-2.505164E-11,-5.043730E-10,4.966887E-2,2.479699E-11,-2.338153E-11,-4.993627E-10,4.682275E-2,2.417624E-11,-2.004131E-11,-4.709709E-10,4.255319E-2,2.398698E-11,-2.839186E-11,-4.208676E-10,6.746032E-2,2.359249E-11,-4.008263E-11,-3.073001E-10,1.304348E-1,2.377859E-11,-7.415286E-10,-8.350547E-11,8.880000E+0,2.366117E-11,-6.780644E-10,-2.338153E-11,2.900000E+1,2.368009E-11,-5.828682E-10,-1.837120E-11,3.172727E+1,2.310110E-11,-4.860018E-10,-2.171142E-11,2.238461E+1,2.357196E-11,-3.807850E-10,-1.336088E-11,2.850000E+1,2.322365E-11,-3.022898E-10,-1.837120E-11,1.645455E+1,2.303604E-11,-2.404958E-10,-3.507230E-11,6.857143E+0
H01,WT +dox,T,1.223558E-11,-2.171142E-11,-5.143937E-10,4.220779E-2,1.229965E-11,-2.171142E-11,-5.010328E-10,4.333333E-2,1.211333E-11,-1.503099E-11,-4.709709E-10,3.191489E-2,1.233439E-11,-2.004131E-11,-4.375687E-10,4.580153E-2,1.218763E-11,-2.338153E-11,-4.075067E-10,5.737705E-2,1.225890E-11,-2.171142E-11,-3.106404E-10,6.989247E-2,1.217631E-11,-3.006197E-11,-1.803718E-10,1.666667E-1,1.211455E-11,-9.185602E-11,-6.012394E-11,1.527778E+0,1.205586E-11,-2.571968E-10,-6.680438E-12,3.850000E+1,1.211630E-11,-4.308882E-10,-2.338153E-11,1.842857E+1,1.200901E-11,-4.459192E-10,-1.503099E-11,2.966667E+1,1.213758E-11,-3.941458E-10,-2.004131E-11,1.966667E+1,1.209027E-11,-3.156507E-10,-2.672175E-11,1.181250E+1,1.207478E-11,-2.237947E-10,-3.006197E-11,7.444444E+0
I01,WT +dox,T,9.123790E-12,-2.004131E-11,-5.427856E-10,3.692308E-2,9.194260E-12,-1.837120E-11,-5.377753E-10,3.416149E-2,8.849428E-12,-1.670110E-11,-5.077133E-10,3.289474E-2,8.888997E-12,-1.837120E-11,-4.826616E-10,3.806228E-2,9.116696E-12,-2.171142E-11,-4.492594E-10,4.832714E-2,8.748220E-12,-2.338153E-11,-3.674241E-10,6.363636E-2,8.846827E-12,-3.340219E-11,-2.321452E-10,1.438849E-1,9.063916E-12,-8.016526E-11,-8.183536E-11,9.795918E-1,8.876614E-12,-2.688876E-10,-2.171142E-11,1.238462E+1,8.970625E-12,-4.509295E-10,-2.004131E-11,2.250000E+1,8.718279E-12,-4.943524E-10,-2.338153E-11,2.114286E+1,9.045178E-12,-4.358986E-10,-2.338153E-11,1.864286E+1,8.737185E-12,-3.457127E-10,-2.171142E-11,1.592308E+1,8.662447E-12,-2.421659E-10,-2.171142E-11,1.115385E+1
J01,WT +dox,T,1.183916E-11,-1.670110E-11,-7.064563E-10,2.364066E-2,1.189989E-11,-1.837120E-11,-6.914253E-10,2.657005E-2,1.172528E-11,-2.004131E-11,-6.730541E-10,2.977668E-2,1.170046E-11,-2.004131E-11,-6.246210E-10,3.208556E-2,1.198035E-11,-1.837120E-11,-5.828682E-10,3.151862E-2,1.188205E-11,-2.171142E-11,-4.726410E-10,4.593639E-2,1.186238E-11,-3.006197E-11,-3.073001E-10,9.782609E-2,1.200217E-11,-1.052169E-10,-1.052169E-10,1.000000E+0,1.187730E-11,-3.774447E-10,-2.672175E-11,1.412500E+1,1.192066E-11,-5.995693E-10,-2.505164E-11,2.393333E+1,1.189064E-11,-6.279612E-10,-2.004131E-11,3.133333E+1,1.190382E-11,-5.661671E-10,-2.672175E-11,2.118750E+1,1.176013E-11,-4.492594E-10,-2.171142E-11,2.069231E+1,1.193378E-11,-3.206610E-10,-2.505164E-11,1.280000E+1
K01,WT +dox,T,1.713032E-11,-1.837120E-11,-8.834879E-10,2.079395E-2,1.727820E-11,-1.837120E-11,-8.717971E-10,2.107280E-2,1.722851E-11,-2.171142E-11,-8.450754E-10,2.569170E-2,1.722889E-11,-2.004131E-11,-7.983123E-10,2.510460E-2,1.747110E-11,-2.171142E-11,-7.348482E-10,2.954545E-2,1.707131E-11,-1.837120E-11,-5.845383E-10,3.142857E-2,1.733262E-11,-2.672175E-11,-3.423724E-10,7.804878E-2,1.735025E-11,-1.302685E-10,-1.169077E-10,1.114286E+0,1.727354E-11,-5.194040E-10,-2.505164E-11,2.073333E+1,1.737188E-11,-7.949721E-10,-2.839186E-11,2.800000E+1,1.735069E-11,-8.066628E-10,-2.505164E-11,3.220000E+1,1.735620E-11,-7.014460E-10,-3.006197E-11,2.333333E+1,1.734737E-11,-5.310948E-10,-2.004131E-11,2.650000E+1,1.752452E-11,-3.924757E-10,-3.507230E-11,1.119048E+1
